Municípios,Estimativas Populacionais - DEE\Total\2021,Idese\2021,PIB\Total\2021 (R$ mil),PIB\Impostos\2021 (R$ mil),PIB\Indústria\2021 (R$ mil),PIB\Agropecuária\2021 (R$ mil),PIB\Serviços\Total\2021,PIB per capita\2021 (R$),COREDE,Fronteira Argentina,Fronteira Uruguai,Fronteira Santa Catarina,Litorâneo
Campo Novo,5.085,"0,7635","325.738,15","45.388,39","23.095,63","103.576,60","153.677,53","76.231,72",Celeiro,Não,Não,Não,Não
Campos Borges,3.715,"0,7444","150.032,52","8.322,69","8.165,10","75.520,15","58.024,58","45.853,46",Alto da Serra do Botucaraí,Não,Não,Não,Não
Candelária,30.186,"0,6882","1.078.185,51","93.729,57","179.060,56","291.983,35","513.412,03","34.255,30",Vale do Rio Pardo,Não,Não,Sim,Não
Cândido Godói,6.725,"0,8074","358.436,31","25.306,76","52.330,66","145.175,18","135.623,71","58.702,31",Fronteira Noroeste,Não,Não,Não,Não
Candiota,9.435,"0,7890","2.744.006,06","61.054,08","2.351.042,15","130.044,32","201.865,52","282.683,22",Campanha,Não,Não,Não,Não
Canela,47.990,"0,7380","1.595.254,51","153.530,38","399.881,56","20.844,18","1.020.998,40","34.711,89",Hortênsias,Não,Não,Não,Não
Canguçu,53.161,"0,6814","1.660.001,98","110.545,65","55.072,23","592.457,44","901.926,66","29.448,32",Sul,Não,Não,Não,Não
Canoas,365.364,"0,7329","21.995.362,27","3.091.272,22","8.390.681,01","10.474,84","10.502.934,20","62.892,77",Vale do Rio dos Sinos,Não,Não,Não,Não
Canudos do Vale,1.757,"0,7642","67.986,91","2.063,66","1.618,93","39.534,97","24.769,36","40.157,66",Vale do Taquari,Não,Não,Não,Não
Capão Bonito do Sul,1.952,"0,8018","342.052,20","13.573,37","14.393,18","239.236,09","74.849,56","210.105,78",Nordeste,Não,Não,Não,Não
Capão da Canoa,56.396,"0,7087","1.966.012,45","187.991,52","283.085,78","3.527,82","1.491.407,32","35.739,83",Litoral,Não,Não,Não,Sim
Capão do Cipó,3.198,"0,8035","644.963,92","28.480,99","15.373,28","456.954,15","144.155,51","172.220,01",Vale do Jaguari,Não,Não,Não,Não
Capão do Leão,27.105,"0,6457","830.082,42","77.128,11","207.562,81","153.536,10","391.855,40","32.600,83",Sul,Não,Não,Não,Não
Capela de Santana,13.084,"0,6759","298.585,47","30.251,69","78.966,49","30.504,89","158.862,40","24.508,37",Vale do Caí,Não,Não,Não,Não
Capitão,3.185,"0,7974","95.377,89","3.017,43","6.213,48","49.037,46","37.109,52","34.432,45",Vale do Taquari,Não,Não,Não,Não
Capivari do Sul,4.620,"0,8055","386.831,97","37.465,82","32.111,11","152.886,19","164.368,85","80.707,69",Litoral,Não,Não,Não,Não
Caraá,8.175,"0,6817","165.658,92","7.141,81","22.492,18","54.789,62","81.235,31","19.660,45",Litoral,Não,Não,Não,Não
Carazinho,64.757,"0,7885","3.846.846,97","678.252,96","381.381,58","253.865,77","2.533.346,66","61.635,35",Produção,Não,Não,Não,Não
Carlos Barbosa,31.709,"0,8800","3.529.578,37","786.822,79","1.713.024,52","82.339,26","947.391,80","115.232,73",Serra,Não,Não,Não,Não
Carlos Gomes,1.482,"0,7752","70.446,54","1.741,58","4.650,69","41.661,11","22.393,17","53.087,07",Norte,Não,Não,Não,Não
Casca,9.366,"0,8461","717.919,21","92.490,65","132.678,52","184.464,96","308.285,07","79.153,17",Produção,Não,Não,Não,Não
Caseiros,3.235,"0,7958","199.196,08","19.466,28","9.772,94","80.795,10","89.161,76","61.708,82",Nordeste,Não,Não,Não,Não
Catuípe,9.483,"0,8166","638.109,49","35.245,88","21.000,65","355.152,93","226.710,02","73.932,28",Noroeste Colonial,Não,Não,Não,Não
Caxias do Sul,479.884,"0,8050","31.688.460,22","5.271.802,13","9.594.396,76","275.560,46","16.546.700,88","60.506,95",Serra,Não,Não,Não,Não
Centenário,3.148,"0,7912","120.777,83","3.594,82","5.188,31","70.857,23","41.137,48","42.156,31",Norte,Não,Não,Não,Não
Cerrito,6.133,"0,6848","161.326,90","4.748,06","4.996,90","86.122,03","65.459,90","26.865,43",Sul,Não,Não,Não,Não
Cerro Branco,4.128,"0,6800","90.158,22","2.955,89","3.879,95","35.783,58","47.538,79","19.101,32",Jacuí Centro,Não,Não,Não,Não
Cerro Grande,2.670,"0,7056","74.560,97","1.836,10","1.578,04","41.836,03","29.310,81","32.687,84",Rio da Várzea,Não,Não,Não,Não
