Municípios,Estimativas Populacionais - DEE\Total\2021,Idese\2021,PIB\Total\2021 (R$ mil),PIB\Impostos\2021 (R$ mil),PIB\Indústria\2021 (R$ mil),PIB\Agropecuária\2021 (R$ mil),PIB\Serviços\Total\2021,PIB per capita\2021 (R$),COREDE,Fronteira Argentina,Fronteira Uruguai,Fronteira Santa Catarina,Litorâneo
Salto do Jacuí,11.223,"0,7408","1.213.454,62","27.378,86","772.161,52","204.201,85","209.712,39","96.983,27",Alto Jacuí,Não,Não,Sim,Não
Salvador das Missões,2.988,"0,7894","178.468,44","16.965,50","18.015,47","66.041,70","77.445,77","65.277,41",Missões,Não,Não,Não,Não
Salvador do Sul,7.603,"0,7814","337.661,31","41.869,70","72.995,79","73.681,38","149.114,43","42.339,98",Vale do Caí,Não,Não,Não,Não
Sananduva,16.984,"0,8026","843.823,39","107.155,79","108.381,38","214.642,74","413.643,48","51.509,18",Nordeste,Não,Não,Não,Não
Santa Bárbara do Sul,8.429,"0,8121","1.336.027,46","117.786,35","52.270,47","703.242,06","462.728,59","171.000,57",Alto Jacuí,Não,Não,Não,Não
Santa Cecília do Sul,1.739,"0,8404","143.879,15","2.628,61","3.274,85","105.055,40","32.920,29","88.269,41",Nordeste,Não,Não,Não,Não
Santa Clara do Sul,7.056,"0,7921","339.105,39","33.560,11","141.858,96","40.526,83","123.159,49","50.200,65",Vale do Taquari,Não,Não,Não,Não
Santa Cruz do Sul,133.651,"0,7929","9.815.170,12","2.808.863,53","2.071.989,16","244.596,68","4.689.720,76","74.205,00",Vale do Rio Pardo,Não,Não,Não,Não
Santa Margarida do Sul,2.606,"0,7835","361.014,47","18.484,35","13.717,90","241.653,95","87.158,27","139.226,56",Fronteira Oeste,Não,Não,Não,Não
Santa Maria,282.493,"0,7579","9.562.027,15","1.095.530,14","1.097.557,09","390.982,20","6.977.957,72","33.532,26",Central,Não,Não,Não,Não
Santa Maria do Herval,6.666,"0,7712","279.407,65","21.734,69","67.732,87","83.767,08","106.173,01","43.780,58",Paranhana Encosta da Serra,Não,Não,Não,Não
Santana da Boa Vista,7.819,"0,7082","364.899,02","8.674,03","10.502,74","236.344,46","109.377,79","45.402,39",Sul,Não,Não,Não,Não
Santana do Livramento,78.211,"0,7282","2.823.912,94","197.976,51","455.491,88","639.519,19","1.530.925,36","37.330,14",Fronteira Oeste,Não,Sim,Não,Não
Santa Rosa,79.739,"0,7725","3.732.037,08","529.011,97","925.504,81","258.498,55","2.019.021,74","50.513,48",Fronteira Noroeste,Não,Não,Não,Não
Santa Tereza,1.749,"0,7524","49.850,41","2.608,97","3.582,14","19.685,10","23.974,20","28.949,13",Serra,Não,Não,Não,Não
Santa Vitória do Palmar,30.723,"0,7400","1.755.621,81","74.506,19","264.676,07","822.389,87","594.049,67","59.922,92",Sul,Não,Sim,Não,Sim
Santiago,49.464,"0,7758","2.021.443,56","213.401,66","107.700,36","425.748,69","1.274.592,85","41.004,58",Vale do Jaguari,Não,Não,Não,Não
Santo Ângelo,83.075,"0,7496","3.180.262,44","358.211,48","469.692,42","332.631,92","2.019.726,63","41.012,36",Missões,Não,Não,Não,Não
Santo Antônio da Patrulha,43.838,"0,7322","1.680.497,23","203.996,91","465.688,01","182.189,76","828.622,55","38.723,81",Metropolitano Delta do Jacuí,Não,Não,Não,Não
Santo Antônio das Missões,10.875,"0,7427","673.943,78","32.028,88","16.958,73","432.305,91","192.650,25","67.869,46",Missões,Não,Não,Não,Não
Santo Antônio do Palma,2.324,"0,8355","119.796,49","6.997,23","5.314,39","67.582,26","39.902,62","56.561,14",Produção,Não,Não,Não,Não
Santo Antônio do Planalto,2.170,"0,7806","189.468,48","13.304,73","21.845,52","97.950,30","56.367,93","93.889,23",Produção,Não,Não,Não,Não
Santo Augusto,15.076,"0,7907","848.436,17","78.377,56","56.337,89","335.207,03","378.513,68","61.423,02",Celeiro,Não,Não,Não,Não
Santo Cristo,15.293,"0,8006","784.067,74","114.707,21","74.578,58","229.302,88","365.479,07","55.305,62",Fronteira Noroeste,Não,Não,Não,Não
Santo Expedito do Sul,2.503,"0,7941","128.952,39","4.756,80","7.142,23","78.803,61","38.249,75","56.384,95",Nordeste,Não,Não,Não,Não
São Borja,59.235,"0,7393","2.570.754,82","221.218,90","274.239,86","795.875,04","1.279.421,02","43.012,23",Fronteira Oeste,Sim,Não,Sim,Não
São Domingos do Sul,3.111,"0,8122","123.435,18","7.184,11","23.318,03","46.576,64","46.356,39","39.933,74",Produção,Não,Não,Não,Não
São Francisco de Assis,17.521,"0,7570","804.119,36","31.708,34","23.417,23","437.723,41","311.270,37","44.473,17",Vale do Jaguari,Não,Não,Não,Não
São Francisco de Paula,20.954,"0,7029","1.026.512,94","64.088,85","92.412,47","475.150,94","394.860,68","46.934,89",Hortênsias,Não,Não,Não,Não
São Gabriel,60.918,"0,7203","2.723.182,62","193.677,44","225.012,77","1.040.024,38","1.264.468,03","43.790,22",Fronteira Oeste,Não,Não,Não,Não
São Jerônimo,22.706,"0,6992","667.010,32","52.551,12","83.038,93","102.922,10","428.498,17","27.148,45",Centro-Sul,Não,Não,Não,Não
São João da Urtiga,4.669,"0,7953","184.148,34","15.554,58","5.997,54","77.046,40","85.549,82","39.815,86",Nordeste,Não,Não,Não,Não
São João do Polêsine,2.828,"0,7744","104.816,74","9.429,58","10.294,71","22.130,63","62.961,83","41.347,83",Central,Não,Não,Não,Não
São Jorge,2.701,"0,7888","133.330,52","6.704,52","11.305,66","69.617,80","45.702,55","47.482,38",Serra,Não,Não,Não,Não
São José das Missões,2.651,"0,7298","93.350,22","4.095,32","2.842,36","43.978,05","42.434,49","37.475,00",Rio da Várzea,Não,Não,Não,Não
São José do Herval,2.095,"0,7018","59.112,01","3.527,07","1.774,13","21.944,98","31.865,83","30.835,69",Alto da Serra do Botucaraí,Não,Não,Não,Não
São José do Hortêncio,4.592,"0,7225","117.865,27","11.795,41","25.039,34","19.147,39","61.883,14","23.936,90",Vale do Caí,Não,Não,Não,Não
São José do Inhacorá,2.365,"0,8377","183.792,99","13.733,67","60.200,72","58.444,02","51.414,59","90.094,60",Fronteira Noroeste,Não,Não,Não,Não
São José do Norte,26.674,"0,6931","792.698,29","50.981,03","241.974,17","117.292,74","382.450,34","28.446,79",Sul,Não,Não,Não,Sim
São José do Ouro,7.045,"0,8002","463.016,53","46.261,59","24.718,84","164.757,32","227.278,78","66.997,04",Nordeste,Não,Não,Não,Não
São José dos Ausentes,3.719,"0,6894","155.631,17","5.923,56","13.518,62","73.182,02","63.006,96","43.728,90",Campos de Cima da Serra,Não,Não,Não,Não
São José do Sul,2.487,"0,7896","94.018,36","8.363,15","12.292,18","36.729,99","36.633,04","38.156,80",Vale do Caí,Não,Não,Não,Não
São Leopoldo,237.720,"0,7238","10.855.366,22","2.368.898,40","2.557.760,98","2.470,14","5.926.236,71","45.159,57",Vale do Rio dos Sinos,Não,Não,Não,Não
São Lourenço do Sul,42.397,"0,7238","1.701.062,80","119.215,84","111.238,08","654.873,03","815.735,86","39.103,99",Sul,Não,Não,Não,Não
São Luiz Gonzaga,36.593,"0,7487","1.903.777,00","193.775,14","188.429,95","561.192,51","960.379,39","57.474,25",Missões,Não,Não,Não,Não
São Marcos,21.922,"0,8191","1.145.389,47","191.265,12","409.877,95","48.242,02","496.004,38","52.647,06",Serra,Não,Não,Não,Não
São Martinho,6.129,"0,7959","354.028,32","30.447,22","27.835,85","144.527,30","151.217,95","66.347,14",Celeiro,Não,Não,Sim,Não
São Martinho da Serra,3.070,"0,7822","336.098,46","13.902,20","8.614,75","232.319,34","81.262,17","104.119,72",Central,Não,Não,Não,Não
São Miguel das Missões,7.372,"0,7699","867.927,58","38.153,67","25.771,13","564.984,07","239.018,71","112.835,10",Missões,Não,Não,Não,Não
São Nicolau,5.461,"0,7110","228.044,94","8.460,88","6.671,73","130.813,64","82.098,68","44.254,79",Missões,Sim,Não,Sim,Não
São Paulo das Missões,6.047,"0,7537","200.547,36","10.491,86","13.698,55","87.915,02","88.441,94","35.470,00",Missões,Não,Não,Não,Não
São Pedro da Serra,3.747,"0,7821","113.227,48","10.434,32","23.684,40","29.123,72","49.985,04","29.174,82",Vale do Caí,Não,Não,Não,Não
São Pedro das Missões,1.837,"0,7939","114.177,30","7.710,77","2.470,53","55.256,29","48.739,71","56.383,85",Rio da Várzea,Não,Não,Não,Não
São Pedro do Butiá,3.210,"0,7924","161.663,46","7.524,27","13.583,95","89.211,73","51.343,52","54.801,17",Missões,Não,Não,Não,Não
São Pedro do Sul,16.563,"0,7205","532.254,85","39.199,18","45.732,59","168.609,63","278.713,45","33.059,31",Central,Não,Não,Não,Não
São Sebastião do Caí,24.429,"0,7299","899.456,88","131.418,70","204.862,84","31.529,72","531.645,62","34.381,59",Vale do Caí,Não,Não,Não,Não
São Sepé,22.870,"0,7508","1.331.316,29","96.249,10","99.056,43","588.229,84","547.780,92","56.671,05",Jacuí Centro,Não,Não,Não,Não
São Valentim,3.447,"0,7927","135.539,67","9.270,78","11.896,27","52.067,14","62.305,49","42.093,07",Norte,Não,Não,Não,Não
São Valentim do Sul,2.496,"0,7977","95.575,28","5.515,68","18.640,33","37.286,26","34.133,01","42.515,69",Serra,Não,Não,Não,Não
São Valério do Sul,3.032,"0,6734","90.428,74","1.518,53","2.364,66","55.412,44","31.133,11","33.099,83",Celeiro,Não,Não,Não,Não
São Vendelino,2.436,"0,7892","95.747,09","13.519,62","33.258,90","8.265,05","40.703,52","41.847,50",Vale do Caí,Não,Não,Não,Não
São Vicente do Sul,7.971,"0,7966","730.552,78","49.280,53","217.461,49","278.835,87","184.974,90","83.568,15",Vale do Jaguari,Não,Não,Não,Não
Sapiranga,82.852,"0,7304","3.615.583,80","418.625,38","1.531.903,19","9.686,31","1.655.368,93","44.906,27",Vale do Rio dos Sinos,Não,Não,Não,Não
Sapucaia do Sul,148.018,"0,6928","4.204.060,03","554.126,61","1.366.829,16","6.544,98","2.276.559,28","29.500,52",Vale do Rio dos Sinos,Não,Não,Não,Não
Sarandi,24.808,"0,7941","1.299.134,19","183.738,33","213.643,66","171.575,23","730.176,98","51.915,53",Rio da Várzea,Não,Não,Sim,Não
Seberi,12.466,"0,7452","617.242,79","70.345,85","89.973,63","156.819,37","300.103,95","57.805,09",Médio Alto Uruguai,Não,Não,Não,Não
Sede Nova,3.114,"0,7541","157.533,99","10.147,51","6.573,11","82.626,99","58.186,39","54.794,43",Celeiro,Não,Não,Não,Não
Segredo,6.923,"0,6826","163.086,85","4.557,71","5.048,89","81.878,66","71.601,59","21.846,87",Vale do Rio Pardo,Não,Não,Não,Não
Selbach,5.216,"0,8271","375.172,96","42.083,31","39.413,27","152.709,71","140.966,66","73.361,94",Alto Jacuí,Não,Não,Não,Não
Senador Salgado Filho,2.824,"0,7358","149.058,40","6.768,47","4.532,80","88.835,58","48.921,55","53.987,11",Fronteira Noroeste,Não,Não,Não,Não
Sentinela do Sul,5.040,"0,6859","136.266,21","9.082,16","17.886,22","50.448,86","58.848,98","24.182,11",Centro-Sul,Não,Não,Não,Não
Serafina Corrêa,17.581,"0,7771","782.298,67","92.187,52","174.289,22","106.448,37","409.373,56","43.283,10",Serra,Não,Não,Sim,Não
Sério,2.123,"0,7340","59.570,86","2.734,44","2.617,76","30.779,54","23.439,12","31.535,66",Vale do Taquari,Não,Não,Não,Não
Sertão,6.196,"0,8548","534.501,11","20.854,54","29.203,04","350.091,92","134.351,60","102.394,85",Norte,Não,Não,Sim,Não
Sertão Santana,6.081,"0,7638","314.766,35","49.671,72","58.188,26","43.701,00","163.205,36","47.793,25",Centro-Sul,Não,Não,Não,Não
Sete de Setembro,2.167,"0,7412","105.650,73","2.812,13","3.978,23","66.907,10","31.953,26","54.712,96",Missões,Não,Não,Não,Não
Severiano de Almeida,3.804,"0,7980","149.412,45","7.641,22","7.538,85","71.165,06","63.067,33","41.422,91",Norte,Não,Não,Não,Não
Silveira Martins,2.361,"0,7791","86.629,94","4.095,63","4.195,35","39.602,37","38.736,59","36.630,00",Central,Não,Não,Não,Não
Sinimbu,9.492,"0,6889","213.479,66","10.829,96","9.102,68","76.341,43","117.205,59","21.028,34",Vale do Rio Pardo,Não,Não,Não,Não
Sobradinho,15.403,"0,7096","438.641,31","42.338,93","35.674,67","62.844,92","297.782,79","29.163,04",Vale do Rio Pardo,Não,Não,Não,Não
Soledade,30.881,"0,7516","1.405.190,99","139.651,46","186.754,17","383.179,93","695.605,43","45.230,98",Alto da Serra do Botucaraí,Não,Não,Sim,Não
Tabaí,4.936,"0,7774","142.085,26","6.700,06","8.287,95","67.974,61","59.122,64","29.502,75",Vale do Taquari,Não,Não,Não,Não
Tapejara,25.473,"0,8009","1.644.542,96","274.921,38","592.961,43","132.150,02","644.510,13","65.852,84",Nordeste,Não,Não,Sim,Não
Tapera,11.319,"0,7621","640.273,05","91.368,51","106.202,37","147.802,42","294.899,75","60.580,29",Alto Jacuí,Não,Não,Não,Não
Tapes,16.082,"0,6982","603.911,39","30.446,88","50.515,62","268.829,56","254.119,33","34.781,51",Centro-Sul,Não,Não,Não,Não
Taquara,58.402,"0,7186","1.568.871,70","160.975,10","295.705,25","31.086,83","1.081.104,52","27.171,31",Paranhana Encosta da Serra,Não,Não,Não,Não
Taquari,26.906,"0,7487","1.094.079,53","145.204,88","371.987,21","104.213,61","472.673,83","40.661,52",Vale do Taquari,Não,Não,Não,Não
Taquaruçu do Sul,3.380,"0,8129","188.856,60","20.877,28","7.460,32","67.474,05","93.044,95","61.297,18",Médio Alto Uruguai,Não,Não,Não,Não
Tavares,5.702,"0,6680","124.252,83","6.182,95","3.154,00","44.680,54","70.235,34","22.657,34",Sul,Não,Não,Não,Sim
Tenente Portela,14.610,"0,7356","579.212,66","48.396,77","37.446,86","134.995,93","358.373,10","43.273,27",Celeiro,Não,Não,Não,Não
Terra de Areia,11.908,"0,6811","291.337,78","33.546,04","21.542,99","20.329,31","215.919,45","25.729,73",Litoral,Não,Não,Não,Não
Teutônia,35.083,"0,8026","1.576.003,83","221.056,62","445.990,36","117.910,11","791.046,74","45.981,15",Vale do Taquari,Não,Não,Não,Não
Tio Hugo,3.199,"0,7829","174.782,55","16.555,49","14.830,09","65.148,73","78.248,23","56.784,45",Alto da Serra do Botucaraí,Não,Não,Não,Não
Tiradentes do Sul,5.952,"0,7474","196.241,39","14.625,68","6.524,16","87.340,31","87.751,22","35.473,86",Celeiro,Sim,Não,Não,Não
Toropi,2.818,"0,7431","101.332,72","5.614,46","2.255,39","45.506,27","47.956,59","36.808,11",Central,Não,Não,Não,Não
Torres,42.390,"0,7305","1.382.097,50","114.080,01","169.905,98","49.869,38","1.048.242,13","35.095,54",Litoral,Não,Não,Não,Sim
Tramandaí,53.036,"0,6381","1.234.543,52","98.252,33","113.567,12","16.772,65","1.005.951,42","23.072,56",Litoral,Não,Não,Não,Sim
Travesseiro,2.496,"0,7830","78.086,88","2.951,17","12.164,02","38.219,19","24.752,49","33.499,30",Vale do Taquari,Não,Não,Não,Não
Três Arroios,2.931,"0,8411","141.195,71","13.166,12","11.256,68","58.789,56","57.983,35","53.891,49",Norte,Não,Não,Sim,Não
Três Cachoeiras,11.466,"0,7312","308.567,68","37.790,18","27.495,41","29.246,46","214.035,63","27.614,79",Litoral,Não,Não,Não,Não
Três Coroas,26.643,"0,7110","805.144,95","93.229,83","290.944,78","11.290,74","409.679,60","27.813,49",Paranhana Encosta da Serra,Não,Não,Sim,Não
Três de Maio,27.040,"0,7993","1.353.670,90","187.974,93","179.925,85","218.441,64","767.328,48","56.767,21",Fronteira Noroeste,Não,Não,Sim,Não
Três Forquilhas,3.077,"0,7107","64.218,20","2.375,60","3.099,54","25.510,45","33.232,61","24.297,46",Litoral,Não,Não,Não,Não
Três Palmeiras,4.971,"0,7901","178.528,73","15.096,02","11.505,23","68.917,60","83.009,88","42.185,43",Rio da Várzea,Não,Não,Não,Não
Três Passos,27.047,"0,7566","1.033.028,29","106.538,56","164.113,56","165.137,73","597.238,43","43.406,37",Celeiro,Não,Não,Sim,Não
Trindade do Sul,6.370,"0,7590","351.368,92","33.249,28","86.868,04","107.355,75","123.895,85","60.779,96",Médio Alto Uruguai,Não,Não,Sim,Não
Triunfo,26.816,"0,7889","12.982.385,91","2.859.992,30","7.196.780,94","186.213,31","2.739.399,36","430.464,73",Metropolitano Delta do Jacuí,Não,Não,Não,Não
Tucunduva,5.955,"0,8057","259.330,11","21.145,76","10.975,57","91.247,85","135.960,92","46.209,93",Fronteira Noroeste,Não,Não,Sim,Não
Tunas,4.211,"0,7350","120.843,56","5.729,63","3.007,52","61.120,50","50.985,91","26.356,28",Vale do Rio Pardo,Não,Não,Não,Não
Tupanci do Sul,1.493,"0,8013","94.726,71","3.159,70","3.613,93","56.293,54","31.659,54","65.464,21",Nordeste,Não,Não,Não,Não
Tupanciretã,21.380,"0,7771","2.052.009,38","145.985,54","62.815,05","1.096.641,34","746.567,45","84.856,89",Central,Não,Não,Não,Não
Tupandi,5.263,"0,8018","533.591,91","62.632,07","294.613,09","60.507,33","115.839,43","106.314,39",Vale do Caí,Não,Não,Não,Não
Tuparendi,8.637,"0,7861","383.532,98","31.406,24","34.281,99","141.235,05","176.609,71","49.616,17",Fronteira Noroeste,Não,Não,Sim,Não
Turuçu,3.599,"0,6911","163.726,04","7.919,58","5.125,90","87.414,15","63.266,41","48.041,68",Sul,Não,Não,Não,Não
Ubiretama,2.171,"0,7782","110.731,54","3.864,91","1.771,38","69.554,07","35.541,19","56.727,23",Missões,Não,Não,Não,Não
União da Serra,1.402,"0,8374","91.173,08","2.320,79","2.766,25","62.755,02","23.331,01","84.108,00",Serra,Não,Não,Não,Não
Unistalda,2.244,"0,7494","149.066,20","3.223,11","3.867,20","101.856,03","40.119,86","64.642,76",Vale do Jaguari,Não,Não,Não,Não
Uruguaiana,117.297,"0,6936","3.717.090,65","300.481,14","310.419,06","927.382,45","2.178.808,00","29.322,46",Fronteira Oeste,Sim,Não,Sim,Não
Vacaria,67.543,"0,7178","3.245.665,50","349.600,65","326.464,34","882.933,95","1.686.666,57","48.503,58",Campos de Cima da Serra,Não,Não,Sim,Não
Vale do Sol,10.982,"0,6369","272.711,90","14.364,71","12.127,02","111.974,67","134.245,49","22.969,08",Vale do Rio Pardo,Não,Não,Não,Não
Vale Real,6.111,"0,7535","198.292,65","21.139,43","60.633,69","28.472,43","88.047,10","32.797,33",Vale do Caí,Não,Não,Não,Não
Vale Verde,3.367,"0,6615","130.451,63","5.890,57","8.980,76","66.470,42","49.109,88","36.944,67",Vale do Rio Pardo,Não,Não,Não,Não
Vanini,2.141,"0,7957","94.775,50","3.023,83","4.063,24","50.984,03","36.704,40","44.495,54",Produção,Não,Não,Sim,Não
Venâncio Aires,70.904,"0,7762","3.732.029,84","557.870,23","1.116.190,04","279.545,63","1.778.423,93","51.566,60",Vale do Rio Pardo,Não,Não,Não,Não
Vera Cruz,26.639,"0,7371","826.715,83","117.609,45","126.283,55","78.996,21","503.826,61","30.254,93",Vale do Rio Pardo,Não,Não,Sim,Não
Veranópolis,25.800,"0,8453","1.738.701,72","295.967,23","702.405,59","63.959,13","676.369,76","64.845,47",Serra,Não,Não,Sim,Não
Vespasiano Correa,1.970,"0,8021","119.438,83","6.385,60","5.844,32","72.325,65","34.883,26","67.251,60",Vale do Taquari,Não,Não,Não,Não
Viadutos,5.052,"0,7756","204.580,51","8.054,71","10.095,62","108.403,78","78.026,40","44.204,95",Norte,Não,Não,Não,Não
Viamão,235.638,"0,6661","4.335.050,25","382.021,07","682.027,19","239.232,64","3.031.769,35","16.846,27",Metropolitano Delta do Jacuí,Não,Não,Sim,Não
Vicente Dutra,5.087,"0,6707","126.513,45","3.020,89","4.233,18","67.359,13","51.900,25","27.927,91",Médio Alto Uruguai,Não,Não,Sim,Não
Victor Graeff,3.102,"0,8358","295.870,30","19.322,16","23.958,41","160.658,23","91.931,50","104.179,68",Alto da Serra do Botucaraí,Não,Não,Não,Não
Vila Flores,3.593,"0,7883","297.551,77","38.803,60","124.030,23","53.069,26","81.648,69","87.335,42",Serra,Não,Não,Não,Não
Vila Lângaro,2.130,"0,8257","168.931,39","10.096,32","11.928,51","96.346,63","50.559,93","81.609,37",Nordeste,Não,Não,Não,Não
Vila Maria,4.665,"0,8587","389.405,41","51.917,84","77.706,58","142.343,13","117.437,86","89.149,59",Produção,Não,Não,Não,Não
Vila Nova do Sul,4.117,"0,7370","195.941,27","9.807,63","22.737,60","97.359,59","66.036,43","45.844,94",Jacuí Centro,Não,Não,Não,Não
Vista Alegre,2.827,"0,8061","137.063,11","9.633,75","6.774,88","66.667,92","53.986,56","50.279,94",Médio Alto Uruguai,Não,Não,Não,Não
Vista Alegre do Prata,1.746,"0,8390","85.227,90","5.948,07","3.168,34","43.155,58","32.955,92","54.879,53",Serra,Não,Não,Não,Não
Vista Gaúcha,3.002,"0,7941","103.511,69","5.106,71","3.345,74","52.501,61","42.557,63","36.218,23",Celeiro,Não,Não,Não,Não
Vitória das Missões,3.405,"0,7549","159.526,95","11.693,91","6.333,15","90.826,46","50.673,43","52.269,64",Missões,Não,Não,Não,Não
Westfalia,3.257,"0,8172","264.838,60","34.752,35","81.691,57","70.246,62","78.148,07","86.946,36",,Não,Não,Não,Não
Xangri-lá,16.744,"0,7265","733.150,58","69.891,24","93.835,43","4.233,23","565.190,67","42.809,21",Litoral,Não,Não,Sim,Sim
